1,1,408.38,517.78,90.01,68.97,0.85,0,1.0
1,2,1293.91,540.06,482.38,184.95,0.83,0,1.0
1,3,261.77,425.17,331.25,83.53,0.68,2,1.0
1,4,674.36,395.97,488.40,113.79,0.61,2,1.0
2,1,408.22,518.84,89.24,66.89,0.84,0,1.0
2,2,1300.95,540.38,479.84,184.24,0.88,0,1.0
2,3,261.82,425.62,330.98,83.01,0.69,2,1.0
2,4,673.42,396.27,489.55,113.04,0.59,2,1.0
3,1,406.38,518.10,89.31,67.48,0.83,0,1.0
3,2,1307.78,539.96,481.83,184.31,0.84,0,1.0
3,3,261.61,425.38,331.70,83.28,0.67,2,1.0
3,5,1260.38,510.16,88.05,59.60,0.63,0,1.0
4,1,404.96,518.21,88.92,68.57,0.83,0,1.0
4,2,1313.42,539.39,485.99,183.81,0.79,0,1.0
4,3,261.32,424.88,331.27,84.44,0.71,2,1.0
5,1,403.41,517.82,88.60,68.55,0.85,0,1.0
5,2,1323.70,540.18,481.93,178.93,0.81,0,1.0
5,3,259.88,425.03,332.12,83.73,0.69,2,1.0
5,6,1258.22,510.45,80.37,58.21,0.51,0,1.0
6,1,401.77,517.77,89.98,69.75,0.85,0,1.0
6,2,1335.60,540.53,480.63,177.69,0.76,0,1.0
6,3,261.54,424.69,331.66,84.68,0.68,2,1.0
6,5,1258.41,510.33,77.45,58.35,0.50,0,1.0
7,1,400.40,518.17,89.92,70.95,0.85,0,1.0
7,2,1340.87,540.59,484.77,178.44,0.80,0,1.0
7,3,260.65,425.73,331.41,83.54,0.71,2,1.0
7,5,1255.74,510.20,92.08,61.01,0.68,0,1.0
8,1,398.04,517.34,91.44,72.06,0.85,0,1.0
8,2,1352.09,540.70,478.54,177.18,0.79,0,1.0
8,3,260.15,425.80,332.06,82.68,0.67,2,1.0
8,6,1254.79,509.25,88.54,60.72,0.41,0,1.0
8,7,73.81,597.29,101.13,155.08,0.50,3,1.0
9,1,397.76,517.61,90.89,71.22,0.85,0,1.0
9,2,1359.14,541.10,479.15,177.29,0.78,0,1.0
9,3,261.19,424.69,331.58,83.92,0.68,2,1.0
9,5,1255.05,509.53,77.77,60.68,0.37,0,1.0
10,1,396.49,517.72,90.19,70.09,0.83,0,1.0
10,2,1365.19,540.39,484.70,179.00,0.79,0,1.0
10,3,260.41,424.28,332.35,84.19,0.68,2,1.0
10,5,1253.47,509.45,92.22,60.85,0.71,0,1.0
11,1,394.96,518.69,90.23,69.56,0.84,0,1.0
11,2,1377.13,542.06,479.08,178.27,0.76,0,1.0
11,3,259.53,425.20,332.79,84.16,0.73,2,1.0
11,5,1253.10,510.16,93.14,61.13,0.74,0,1.0
11,7,72.84,596.26,102.13,156.15,0.33,3,1.0
12,1,393.24,517.98,90.86,69.76,0.85,0,1.0
12,2,1385.72,540.38,479.08,180.69,0.78,0,1.0
12,3,259.28,424.92,332.89,83.21,0.68,2,1.0
12,5,1253.04,509.80,91.29,60.54,0.69,0,1.0
13,1,393.16,517.75,90.06,69.45,0.85,0,1.0
13,2,1392.22,540.59,479.65,181.26,0.81,0,1.0
13,3,259.74,423.82,332.54,83.94,0.71,2,1.0
13,6,1252.47,509.90,90.15,60.47,0.34,0,1.0
13,7,71.57,594.75,105.73,156.67,0.27,3,1.0
14,1,392.41,518.79,89.52,68.23,0.85,0,1.0
